Name of NGO,Cause,Address
Dr B R Ambedkar Sri Ramalingeshwara Health Rural Education Youth Awerness And Art Developmentsociety,Vocational Training,"DR B R AMBEDKAR SRI RAMALINGESHWARA HEALTH RURAL EDUCATION YOUTH AWERNESS AND ART DEVELOPMENTSOCIETY, UDDARAMANAHALLI CROSS, NAADUR POST, SIRA TQ, TUM"
Drbsardms,Health & Family Welfare,"Dr. Babasaheb Ambedkar Rural Development & Multipurpose Society, Behind Sangam Offset, Ghataprabha - 591306, Tq : Gokak"
Dr Raja Ramanna Childrens Science Association R,Children,"Dr.Raja Ramanna Childrens Science Association R, No.21/1, 1st Floor, Aradhya Complex,Vani Vilas Road, Basavangudi,Bengaluru-560004"
Drrudolf Steiner Education And Welfare Society,Health & Family Welfare,"Dr Rudolf steiner Education and Welfare society ""JEEVAN"" Family Counselling Centre D.C Compound Dharwad"
Dr S R Chandrasekhar Institute Of Speech And Hearing,Children,"The Director, Dr.S.R.Chandrasekhar Institute of Speech and Hearing, Hennur main road, Lingarajapuram,Bengaluru - 84"
Drushti Foundation,Health & Family Welfare,"Drushti Foundation, Behind Akkamahadevi College"
Druvaanilfoundation,Health & Family Welfare,ANIL KUMAR PS S/O M SWAMY BELAGOLA SREERANGAPATNA (TALUK) MANDYA (DISTRICT) PIN CODE 571606
Durga Education Society R Chitradurga,Children,"G S LOKESHAMURTHY, DURGA HIGH SCHOOL , HEAD MASTER, MOLAKALMURTHY"
Durgamba Sc St Mahila Mandali Bellary Karnataka,Children,"DEVI NAGAR, BELLARY KARNATAKA STATE-583101"
Durga Parameshwari Gameena Samagra Vidya Kala Yuva Abhivrudhi Samsthe,Health & Family Welfare,"DURGA PARAMESHWARI GRAMEENA SAMAGRA VIDYA KALA YUVA ABHIVRUDHI SAMSTHE, , Veerlagondhi, Kannamedi Post, Kasaba Hobli, Pavagada Taluk, Tumku District,"
Dyanodaya Womens Education Social Welfair Society,Children,"MRS.SHEIKH .N.B., With President / CEO \t C/O .SHRI.L.H.NADAF. :, HOUS NO.1833,HOLIKATTI GALLI,ATHANI.\t\t, TAL : ATHANI, DIST: BELGAUM. \t KARNATAKA"
Ease Training Instituion,Children,"EASE TRAINING INSTITUTION, NO 45 649 9TH CROSS SHANKARA NAGARA, MANDYA 571401"
Ed Varsity,Vocational Training,"12,Santha Paradise,121 Wheeler Road,Cox town,Bengaluru-560005,India"
Elcia Trust,Children,"ELCIA TRUST, S.NO.7(P),ELECTRONICS CITY-WEST PHASE, HOSUR ROAD,Bengaluru ,KARNATAKA., 560100"
Elegant Seva Samsthe,Health & Family Welfare,"ELEGANT SEVA SAMSTHE (R) , MANJUNATHA BUILDING OPP RAMABHAVAN BUILDING NEAR KARNATAKA BANK MS ROAD SHIKARIPURA TQ SHIMOGA DIST KARNATAKA STATE"
Emmanuel Orphanage And Childcare Center,Children,"13/1 MUNINARASIMAPPA GARDEN, BTM 1ST STAGE, TAVEREKERE,Bengaluru-560029"
Enlighten Education And Rural Development Society R,Rural Development & Poverty Alleviation,"enlighteneducationsociety&rural developmentsociety(R) SGR school campus, sadashivanagar tumkur 572102"
Eshwari Mahila Samaja,Labour & Employment,"Eshwari mahila Samaja, Near Lakshminarashimaha Swami Temple, Sadashivanagara, Tumku"
Eshwari Womens Community Development Trust,Women's Development & Empowerment,"Eshwari Womens Community , Development Trust Dandeli, H.no 26/B Twon Ship Dandeli"
Exindo,Children,"No.86/3, Upstairs, between 6th&7th Cross,IVthMain, Chamrajpet,Bengaluru-560018"
Expert,Rural Development & Poverty Alleviation,"EXPERTRURALDEVOLOPMENTSOCITY, ATPOST KHAJURI, TQ ALAND, DIST GULBARGA, STATA KARNATAKA, PIN 585314"
Familyplanningassociationofindiabidarbranch,Children,Family Planning Association of India Bidar Br. Near Heeralal Pannalal College Janwada Road Bidar. Pin Code No- 585401
Felicific Salve Hearts,Children,"No.5, 2nd Cross, 9th Main, Srinivasareddy Layout, Ramamurthy Nagar,Bengaluru - 560016"
Foundation For Action Motivation And Empowerment Fame India,Children,"Foundation for Action, Motivation and Empowerment (F.A.M. E. India), No. 156, 36th Cross, 2nd Main, Jayanagar 7th Block,Bengaluru, Karnataka 560082"
Foundation For Cultural And Media Studies,Health & Family Welfare,"President Foundation for Cultural and Media Studies\ Suvidha , N R Pura Road , Vidyanagar"
Functional Vocational Training And Research Society,Vocational Training,"Functional vocational Training and Research Society, 19, 3rd Cross, Hutchins Road, St. Thomas Town Post,Bengaluru 560 084"
Future Care Institute Of Technology,Rural Development & Poverty Alleviation,"Future care Institute of technology., Door No 801, shop no 4 & 5. 1st Floor, Mahela seve samaja Complex , Opp Shanti Park. Ashoka Road, Davanagere 5770"
Gaanaganga,Vocational Training,"NO.50, 5TH MAIN, POSTAL COLONY, SANJAYNAGARBengaluru-560094"
Gabriel Urban And Rural Development Society Tumkur,Children,gabriel urban and rural development society near sharadha sawmill batwadi tumkur 572103
Gajani Foundation Mulki,Children,Gajani Chirapu Village Post Mulki Mangalore 574154
Gandharva Samskritika Kala Vedike,Rural Development & Poverty Alleviation,"GANDHARVA SAMSKRITIKA KALA VEDIKE (R) , NO. 22, VEERABHADRA, 1ST CROSS, GOVINDAPPA LAYOUT, R.M.V. 2ND STAGE, SANJAYANAGAR POST, NAGASHETTIHALLI, BENGA"
Gandhi Grameena Abhivrudhi Sangha,Children,"GANDHI GRAMEENA ABHIVRUDHI SANGHA, A BLOCK, SOPPINAPET, GUDIBANDE TOWN"
Gangotri Mahila Abhivruddhi Samsthe,Women's Development & Empowerment,Plot no 62 J R Nagar Aland Road Gulbarga karnataka
Gayathri Education Society,Children,"Gayathri Education Society (R), Opp Govt Hospital, Nawab Sab building, Huliyar-572218"
Gayathri Graminabhivruddi Samsthe,Women's Development & Empowerment,BUKKASAGAR HOSPET BLOCK BELLARY DISTRICT KARNATAKA
Gayatri Nagara Hagu Grameen Seva Abhivruddhi Samsthe Janawad,Women's Development & Empowerment,"GAYATRI SEVA ABHIVRUDDHI SAMSTHE , C/O SHANMUKHA B PATIL, AT/PO: JANAWAD, TQ: JAMKHANDI, DIST: BAGALKOT-587301"
General Insurance Employees Cooperative Credit Society Ltd,Children,"REGISTERED OFFICE, SITARA COMPLEX, OLD POST OFFICE ROAD, UDUPI - 576 101 ( KARNATAKA STATE )"
Ggv Education And Rural Development Society,Rural Development & Poverty Alleviation,"GGV EDUCATION AND RURAL DEVELOPMENT SOCIETY, T.C.Jayaramaiah Building , Ajjappanahalli Road, Arakere post , Kasaba Hobli, Tumkur Taluk and District ,"
Giving Hands India Trust,Children,"HILL OF GOLD, NO 696,20TH LOCAL QUATRES,MARIKUPPAM POST, KOLAR GOLD FIELD-563119"
Global Green Foundation,Drinking Water,"Kusa Hittalu, Kodi Ullala, Mangalore, Dakshina Kannada Dist"
Gloria Educational And Charitable Trust,Rural Development & Poverty Alleviation,"No.6, 3rd Floor, 9th Cross, 9th Main Road, 2nd Block Jayanagar,Bengaluru-560011"
G Next Foundation,Children,"No.109, Kotamaranahalli, Mylanayakanahalli Post, , Channapatna Taluk, Ramanagara Dist."
Gothami Foundation,Women's Development & Empowerment,"No.226, Society Road, Kiragandur Village, Mandya Taluq, Mandya - 571401"
Gramachetana,Children,"Gramachetana Sattigeri, Shanti Building, Hindwadi, Belgaum, 590011"
Grama Swaraj Samithi,Drinking Water,"5, Adilakshmi Nilaya, Rajeev Gandhi Road, Jaraganahalli, J P Nagar Post,"
Gramodaya Bailhongal,Drinking Water,"Gramodaya Bailhongal, C/O: M B Paschapur Building, Near Old RTO Office,Bailhongal 591102, TQ:Bailhongal Dist:Belgaum"
Gramothan,Children,"R.H Colony No - 2, Pt:Jawalgera, Dt:Raichur, State:Karnataaka - 584143"
Green Mountain Educational And Charitable Trust,Children,"NO.1910, 2ND FLOOR 8TH â€œAâ€ CROSS , H.A.L 3RD STAGE,Bengaluru-560075"
Guard,Health & Family Welfare,"GUARD (GROUP FOR URBAN AND RURAL DEVELOPMENT), House No. 3, Block No. 7, Karnataka Government Employees Layout, Shivashakthi Road, Shakthi Nagar, MYSO"
Gulbarga Dist Banjara Lambani Mahila Seva Sangh,Children,"Sunita W/o Kishan Kumar Chavan, President Gulbarga dist banjara(lambani) seva sangh(R), plot no 134 banjara road NGO colony Gulbarga - 585102"
Gulbarga District,Labour & Employment,"h.no:-7-1101/21 gunj colony opposites adarsh schools mominpura gulbarga, pincode num:-585104 karnataka"
Haath Mein Sehat,Health & Family Welfare,"Haath Mein Sehat, DCSE building, BVB College Campus, Vidyanagar, Hubli -580031"
Harini Mahila Samaja,Children,"sri Harini Mahila Samaja,vallbai road, Hunsinkere Layout , Hassan-573201"
Hasanamba Institute For Higher Education,Children,"1st floor, J.V.Ram Complex, Opp. Gokul Hotel, K.R.Puram, Hassan- 573 201"
Heala,Children,"NO. 178, B Block, 7th Main, 1Ast Cross, Dattagalli 3rd Stage, Kanakadasa Nagar,"
Heera,Children,"HEERA, 1652/ Laxmi Nivasa,Anjaneya Layout, Davanagere"
Hejje Rural Development And Education Society,Dalit Upliftment,"president/secretary, Hejje rural development and education society, No 2261 jayanagar nelamangala,Bengaluru rural dist 562123, karnataka"
Help Child India Foundation,Children,HELP CHILD INDIA FOUNDATION NO-1031.7TH A MAIN 1ST BLOCK KORAMANGALA
Heritage,Rural Development & Poverty Alleviation,"Heritage, Chinmaya Apts, no. 1, Puttanna Road, Basavangudi,Bengaluru 560 004"
Hindu Muchagera Samaj Sri Manjunath Devastan Trust Committee,Children,"H.M.S Sri Manjunath Devastan Trust Committee, P.B.Road. Betageri-Gadag. Pin:585102"
Hindu Seva Prathisthana,Children,"Head Office: Hindu Seva Prathisthana,Ajita Shree, Bull Temple Road, Basavanagudi,Bengaluru -"
Hippocampus Reading Foundation,Children,"No 525, 16th main, 3rd block, Koramangala,Bengaluru - 560034"
Hirematha Samsthana Vidyapeetha Trust Bhalki,Children,"Hiremath Samsthan Viddypeet Trust(R), In-country adoption centre , Kardyal-585413 Tq,Bhalki Dist,Bidar, (Karnataka)"
Hiremath Samsthan Vidhyapith Trust,Children,"HIREMATH SAMSTHAN VIDYAPET TRUST(R), BHALKI-585328 TQ, BHALKI DIST.BIDAR, KARNATAK"
Holistic Development Association,Children,"No. 82/1, Near Pavithra Vidyanikethan, RMV 2nd Stage, Nagasettyhalli,Bengaluru - 560 094."
Hosajeevana Uttarakannada Nirdista Jala,Children,"Hosajeevana , 2nd floor, konkon Medical Centre, Dr Pickle Road, Karwar -581301 Karnataka"
Hosanna Chritabil Trust,Women's Development & Empowerment,"HOSANNA CHARITABLE TRUST, YESUNAGAR CHAKRADHARI H.NO.11-227, TQ. HUMNABAD, DIST. BIDAR - 585412"
Hukkeri Taluka Mahila Mandals Federation,Children,"HUKKERI TALUKA MAHILA MANDALS FEDERATION , E 6 BUILDING BLOCK HUKKERI, HIDAKAL DAM"
Humanity Rural Development Society,Children,"Humanity Rural Development Society, care of Bayappa Building, Kadadanamari Village & Post, Chintamani Taluk, Chikkaballapurrict"
Hyderabad Karnataka Centre For Advanced Leaarning,Health & Family Welfare,"Hyderabad Karnataka Centre for Asvanced Learning & Welfare Society(R), H.No. 1-1168/3B, Aiwan-E-shahi, Area, Gulbarga"
Image Educational And Literary Cultural Social Welfare Association,Children,"BAGEWADI COMPLEX, BAGALKOT ROAD, Bijapur"
Image Welfare Foundation,Children,"Image Welfare Foundation, c/o. Fairoz Kalghatgi, Plot No 7, 1st Cross, Church Road, Vaibhav Nagar, Belgaum, Pin : 590012"
Imperial Education Medical And Social Welfare Trust,Children,"Imperial Education Medical & Social Welfare Trust., Opp: Nav Jeevan, Near New Shrine Church, Airport Road, vidyanagar, Bellary 583104"
India Community Development Service Society,Children,No 726 2nd Floor 3rd Cross 2nd Stage D Block Dr RajKumar Road Rajaji Nagara Bengaluru 560010
India Educational Foundation,Children,India Educational Foundation
India Health Action Trust,Children,"India Health Action Trust, 13, 1st Floor, 4th Cross, N S Iyengar Street, Seshadripuram"
India Literacy Project,Children,"India Literacy Project , 27, Narayani Apartments, 3rd Floor, Ramakrishnappa Layout, Sanjay Nagar,"
Indian Council For Diabetic Care,Health & Family Welfare,"Indian Council for Diabetic Care,14, Hennur Main Road, Kacharakanahalli,Bangaluru-560 084"
Indian Council For Professional And Vocational Education Mission,Vocational Training,"Indian Council for Professional and Vocational education Mission (ICPVEM), 14, Hennur Main Road, Kacharakanahalli,Bengaluru-560 084"
Indian Educational And Rural Multi Skill Development Society,Women's Development & Empowerment,"1st Floor, Guru krupa Building, Opp. Model High School, K.C. Rani Road, Gadag - 582101"
Indian Grameena Abhivraddhi Sansthe,Rural Development & Poverty Alleviation,"INDIAN GRAMEENA ABHIVRADDHI SAMSTHE, C/O MAHAMMADRAFIK B BAGAWAN, AT POST- JALIHAL TQ BADAMI , DIST BAGALKOT PIN-587114"
Indian Mission For Children In Crisis,Children,"No.1, Subedar Pallayam Main Road, Yeshwantpur,Bengaluru-560022"
Indian Rural Development Foundation Irdf,Rural Development & Poverty Alleviation,"J.C.Jayaramaiah Building, Yallapura, Arekere Post, Kasabha Hobli, Tumkur Taluk and District - 572106"
Indian Rural Development Society,Women's Development & Empowerment,"INDIAN RURAL DEVELOPMENT SOCIETY, MUNAVALLI TAL;SAVADATTI DIST; BELGAUM 591117 KARNATAKA"
Indian Social Institute,Women's Development & Empowerment,"INDIAN SOCIAL INSTITUTE, 24 Benson Road, Benson Town,Bengaluru 560 046, Karnataka"
India Rural Development Education Trust,Women's Development & Empowerment,"DOOR NO 563, IDGHA ROAD, FORT, SHIDDLAGHATTA 562105, Chikkaballapur DISTRICT"
India Vision For Global World,Children,"No.134, M.R.S. Palya, Nandidurga Road, Benson Town Post"
Infomatrix Computer Education Centre,Children,"PRAKASH Y PATOLI , AP KATKOL, TQ RAMDURG, DIST BELGAUM , 9916128111"
Information Technology Development Society India,Women's Development & Empowerment,"ITDSI, C/o ICS, Behind Ambesh Hotel , Vidyanagar Hubli-580021"
Infotrain Computer Training Society Itagi,Rural Development & Poverty Alleviation,"INFOTRAIN COMPUTER TRAINING SOCIETY ATPO : ITAGI, TQ;KHANAPUR, DIST:BELGAUM, KARNATAKA-, 591112"
Infotrain Computer Training Society Itagi,Children,"infotrain computer training society itagi, neharu nagar, opp CRS college, Main Road, Itagi-591112, tq:khanapur dist:belgaum, karnataka"
Inmex Trading Company,Health & Family Welfare,"NO.22,20TH CROSS , SIR M V NAGAR , RAMMURTHY NAGAR ,Bengaluru -560016"
Institute Of Public Health,Health & Family Welfare,No250 Masters Cottage 2nd C Main 2nd C cross Girinagar 1st phase
Institute Of Social Service Family Counselling Centre Roshni Nilaya,Labour & Employment,"Institute of Social Service, Family Counselling Centre, Roshni Nilaya, Mangalore - 575 002"
Integrated Rural Development Association Irda,Children,"Integrated Rural Development Association (IRDA), Post office Road, Rayalpad - 563 134, Srinivasapura (Taluk), Kolar District, Karnataka."
Integrated Rural Development Center Hukkeri,Children,"Integrated Rual Development Society , 712 Chougala Building Babadi Galli HUKKERI"
International Jesus Rural And Urban Educaitonal Development Society Ngo,Children,"INSTITUTE OF ADVANCED TECHNOLOGY COMPUTER EDUCATION, 3RD FLOOR HDMC BUILDING, BANKAPURCHOWK, P B ROAD, HUBLI-, DHARWAD DISTRICT-580028, KARNATAK STATE"
International Services Association Insa India,Children,"5 bar1 Benson Cross Road, Benson Town, 560046"
International Sri Malaimahadeshwar Service Organisation Trust,Women's Development & Empowerment,"INTERNATIONAL SRI MALAIMAHADESHWAR SERVICE ORGANISATION TRUST, NO.210, 7th CROSS, 6th MAIN, INDUSTRIAL TOWN, RAJAJI NAGAR,Bengaluru-560010"
Jagathguru Shree Shivanand Vidyapeeth,Children,"IB OPPOSTE,HUBLI ROAD,KUNDGOL,-581113, DARWARD DIST .KARNATAKA STATE.SOUTH INDIA"
Jagathika Nagara Mattu Grameena Aadaaya Abhivruddi Samsthe,Health & Family Welfare,"Corporate office : 51,4th main 4th cross N R ColonyBengaluru 560019"
Jagruthi Welfare Of Poor Women,Children,"JAGRUTHI WELFARE OF POOR WOMEN, HOUSE NO. 1382, 3RD MAIN, 10TH CROSS, VIVEKANANDA NAGAR, MYSORE- 570023, KARNATAKA"
Janahitha Mngo Raichur,Drinking Water,"Training, Research, Study, IEC, Advocacy, Counseling, Management Centre, Anantha Krupa, No. 8-11-336, Neelaknteshwara Nagara, NGO Colony, RAICHUR-5841"
Jana Jagruthi Rural Development Society,Women's Development & Empowerment,"Projcet office No 535 Opp surabhi bakary, Main Road B M Sri Nagara, Metagalli Mysore-570016"
Jana Kalyana Trust,Dalit Upliftment,"Jana Kalyana Trust, 402, I Mail, I Stage, II Block, H.B.R Layout,Bengaluru 560043"
Janamitra Nagara Mathu Gramina Abhivrudhi Samsthe,Rural Development & Poverty Alleviation,"JANAMITRA NAGARA MATHU GRMINA ABHIVRUDHI SASMSTHE, No.5-7-39/1 , NETAJI NAGARA RAICHUR, TQ|| DIST|| RAICHUR. , PIN CODE:584101"
Janani Rural And Urban Development Society,Rural Development & Poverty Alleviation,NEAR OLD HIGH SCHOOL AT POST KADARAMANDALAGI TQ BYADGI DIST HAVERI STATE KARNATAKA
Janapada Kala Parishat,Rural Development & Poverty Alleviation,"JANAPADA KALA PARISHAT Â®, HALAGATTI, HANUMANTH SANKADAL (MADAR) HOUSE, HALAGATTI POST, Tq: Ramdurg, Dt: Belgaum - 591123, Karnataka State"
Janasevaeducationandcharitabletrust,Rural Development & Poverty Alleviation,"janaseva educational and charitable trust (R), behind taluk office , shivaraj buiding , somawarpet, kodagu dt pin : 571236"
Janaspandan Mahila Vividodeshagal Seva Samste,Women's Development & Empowerment,"Jyoti Nagaraj Hangal [Sec}, Janaspandan Mahila Vividodeshagal seva samste, Hangal Compound , Annadaneshwar Nagar , Mundargi-582118, Gadag Dist"
Janodaya Seva Trust,Children,"Janodaya Seva Trust(R), Opp. to Bisilu Maramma Temple, M C Road, Kallahalli, Mandya-571401 Karnataka State"
Jan Shikshan Sansthan Shimoga,Vocational Training,"JAN SHIKSHAN SANSTHAN, KOUSHALYAVARDHINEE, NEAR KASHIPURA RAILWAY GATE, SOMINAKOPPA ROAD, SHIMOGA 577204"
Jayalakshmi Women Welfare Association,Vocational Training,"JAYALAKSHMI WOMEN WELFARE ASSOCIATION, 113/1, IST MAIN, IST CROSS, P.J. EXTENSION, FARMERS STREET, DAVANAGERE"
Jayamma Charitable Trust,Vocational Training,"No 6,5th Main 10th C cross NagapuraBengaluru-506086"
Jayprakash Rural Development Samsthe,Children,"Jayaprakash Rural Development Samsthe, At-Devalapur, Tal-Bailhongal, Dist-Belgaum, Pin Code-591102."
Jeevana Shikshana Samiti,Children,JEEVAN SHIKSHANA SAMITI NARASAPUR ROAD BETAGERI GADAG -582102
Jeevandhara,Women's Development & Empowerment,"JEEVANDHARA, 1ST FLOOR, SONA COMPLEX, KUVEMPU ROAD, SHIVAMURTHY CIRCLE,"
Jeevan Jyoti Seva Sangh Nipani,Health & Family Welfare,"SOU SULSA J. SHAHA, 1136,GURUWAR PETH., NIPANI-591237L- CHIKODI, TAL-CHIKODI.DIST-BELGAUM., (KARNATAKA)"
Jeevan Prakash Education Society,Children,"Plot. No. 9-6-242/243, C/o. Ramesh Panday, First Floor., Plot. No. 9-6-242/243,Behind Raita Bhavan, Gandhi Ganj"
Jeevan Prerna Sarvajanik Seva Sangh,Micro Small & Medium Enterprises,"bharati subhash potdar, , akol (nipani), tal- chikodi, dist- belgaum, pin-591211"
Jeevan Welfare Trust,Children,"ARUNODAYA SPECIAL SCHOOL, NEAR POLICE STATION, KARKALA - 574104, UDUPI DIST. , KARNATAKA-INDIA"
Jeevarathni Foundation,Children,"20, Trinity Orchards, Geddalahalli,Bengaluru - 560043"
Jenukallu Womens Multi Purpose Cooperative Society,Women's Development & Empowerment,"54 , 3RD MAIN ,NETAJI CIRCLE, J.S NAGAR, NANDINI LAYOUT ,Bengaluru-560096,KARNATAKA,INDIA."
Jijamata,Rural Development & Poverty Alleviation,"MOHAN S/O RAJARAM SORTE, AT POST : KOREKAL , TQ. AURAD (B) DIST. BIDAR, KARNATAKA - 585443"
Jjrdstraininginstitute,Labour & Employment,"JJRDSTrainingInstitute(R), VillageMalapanahalli, Post Vaddagere, Taluk Korataere Pin572129"
Jnanamfoundation,Children,"No.209, 9th Block, Maruthi Layout, Near Saraswathi Vidya Mandir, Anekal â€“ 562 106"
Jnyan Deep Grameen Shikshan Samsthe,Health & Family Welfare,"At Po Hudali, Tal and Dist Belgaum, Pin Code 590016"
Jubilant Star Charitable Trust,Health & Family Welfare,"no 619,4th main,meenakshinagar , kamakshipalya ,Bengaluru-79"
Jude Felix Hockey Academy Charitable Trust,Children,"68/31 DODDAIAH LAY OUT, JOGUPALYA HALASURU"
Jyothi Kalyani Mahila Mandali Bellary,Children,Behind english church bcc ground bellary
Kadamba Charitable Foundation,Micro Finance (SHGs),"Basavaraj NilayaChowkimath, Sirsi (N.K) 581 401"
Kalasindhu Academy Of Dance,Children,"KALASINDHU, No.12, 1st East Main Road, ITI Layout, Next to Shivaranjani Apartments, Banashankari 3rd stage,Bengaluru - 560070"
Kalasindhu Academy Of Dance And Related Arts,Children,"No.12, 1st East Main Road,ITI Layout, Banashankari 3rd Stage,Bengaluru-560070"
Kamal Shikshan Mattu Samaj Seva Samsthe,Women's Development & Empowerment,SHRAY COLONY SLUM AREA RUKMINI NAGAR BELGAUM
Kamaluddin Charitable Trust,Children,NO 48 WELLINGTON STREET RICHMOND TOWN
Kaml Shikshan Mattu Samal Seva Samsthe,Vocational Training,"Ashray Colony slum Area Rukmini Nagar, Belgaum-5886541"
Kanakashree Educational Trust,Vocational Training,kanakashree educational trust balath (B) tq aurad(B) dist bidar pin 585436
Kannadambemahilamandali,Health & Family Welfare,kannadambe mahila mandali goutham area(gaddiger area) 6-1-16 devadurga raichur district.
Kannadi,Children,"No 170, V C N Complex, Ground Floor, 1st Main Road, Sheshadripuram,Bengaluru-560020"
Karnataka Development Projects,Rural Development & Poverty Alleviation,"Karnataka Development projcet (KDP), Shanthala nilaya Door No 2035/190, 13th Cross Anjeneya Layout , Davanagere-577002"
Karnataka Goods Transporters Association,Health & Family Welfare,"No. 12/A, B.G.S Raja Mansion, 2nd Floor, 5th Cross, 2nd Main, Kalasipalyam, New Extn, ,Bengaluru"
Karnataka Hemophilia Society,Health & Family Welfare,"karnataka hemophilia society, no 1138, BEHIND K.S.F.C., RING ROAD,NIJALINGAPPA LAYOUT,DAVANAGERE, PIN 577004"
Karnataka Janabhivruddhi Sangha Raichur,Dalit Upliftment,KARNATAKA JANABHIVRUDDHI SANGHA.AHIHAL THANDA.TQ-LINGASUGUR.DIST-RAICHUR
Karnataka Kidney Health Foundation Trust,Health & Family Welfare,"KARNATAKA KIDNEY HEALTH FOUNDATION TRUST, No 392, LAKSHMI NILIYA, BAICHNAHALLI FIRST STAGE"
Karnataka Mahila Yuvajan Hagu Angavikalar Kshemabhivrudhi Sansthe,Women's Development & Empowerment,OLD BUS STAND ROAD NEAR KATKOL BANK CIRCLE SAUNDATTI
Karnataka Ranga Jagruthi Parishattu,Vocational Training,"No.275, Mahamane, BCC Layout, 2nd Stage, Chandra Layout, Vijayanagar"
Karnataka Regional Organisation For Social Service,Women's Development & Empowerment,"Karnataka Regional Organisation For Social Service Kross , 58 6 2nd Cross Da Costa Layout, Wheeler Road Extension, St Thomas Town Bengaluru 560 084, K"
Karnataka State Council For Child Welfare,Children,"Karnataka State Council for Child Welfare, 135, 3rd Cross, Nandi Durga Road, Jayamahal Extension,Bengaluru - 560046"
Karnataka State Sc St Rural Socio Economic Relief Upliftment Association,Rural Development & Poverty Alleviation,"karnataka state sc st rural socio economic relief upliftment association Bidar c/o D samuel christian colony Chidri TQ & dist. Bidar-585403, karnataka"
Karnataka State Skill Development Mission,Health & Family Welfare,"Ravi Shanker, 712, 15th A Main, New Town, Yelahanka"
Karnataka State Womens Studies Association Gulbarga,Women's Development & Empowerment,"Shivaraj B K, Near Kanakadas Circle, Konapurpet Manvi, Tq & Po- Manvi, Dist-Raichur, MANVI-584123"
Karnataka Welfare Federation,Rural Development & Poverty Alleviation,"15,rajiv gandhi road,jaraganahalli,k.p.main road,Bengaluru 78"
Karnataka Womens And Childs Welfare Educational Society,Women's Development & Empowerment,"154/1,385 , A BLOCK,3RD CROSSS,SUBHASHNAGAR,BEGUR POST,SINkwcsGSANDRA POST,HOSUR ROAD,Bengaluru-560068"
Karuna Bharati,Health & Family Welfare,"KARUNABHARATI, SHRI KALMESH GANIGER(PRESIDENT) B.B.SASALLI NEW COMPLEX, NEAR BADAMI CROSS, AT,POST:HOLEALUR, TQ:RON, DISTRICT: GADAG, PINCODE-582203"
Karunadu Samskrutik Hagu Graminabivruddi Samste Kerur,Children,"KARUNADU SAMSKRUTIK HAGU GRAMINABIVRUDDI SAMSTE KERUR., HULIGEMMA NILAY, NEAR BANAGAR AGASI, AT PO KERUR- 587206, TQ BADAMI, DIST BAGALKOT, STATE KARN"
Karuna Jeeva Kalyana Trust,Children,"Karuna Jeeva Kalyana Trust, Shankar Plazra 3rd main 3rd cross 3rd floor, Mamas Joint Road MCC B Block, Davanagere 577004"
Karuna Mahila Mandali,Health & Family Welfare,"karuna mahila mandali , modchakanahalli,mandya"
Karuna Trust,Vocational Training,"Karuna Trust, Jayanagar, 4th, T- Block, 686, 16th Main,Bengaluru560041"
Kasturi Ba Sadan,Children,"KASTURI BA SADAN, TILAK PARK ROAD, VIJAYAPURA, CHIKKAMAGALUR"
Kaveri Urban And Rural Development Organization,Rural Development & Poverty Alleviation,"Kaveri urban and Rural Development Organization, 1st Main 1st Stage, behind Fire Station Gokula, Tumkur-572104"
Kaveri Women Welfare Society,Health & Family Welfare,"KAVERI WOMEN WELFARE SOCIETY, Yadgir to Hyderabad Road Yadgir, Dist: Gulbarga-585202"
Kgns Khairwadi Raibag,Women's Development & Empowerment,"KARNATAKA GRAMEEN MATTU NAGARABHIVRUDDI SANSTHE, RAIBAG GRAMEEN, KHAIRWADI RAIBAG -591317"
Khawja Garibun Nawaz Educational Welfare And Charitable Trust,Children,"Khawja Garibun Nawaz Educational Welfare and Charitable Trust, Nagarboudi Mohalla, Madarasa Anwar-E- Mustafa Kamal Khan Bazaar Road, Near Badi Kaman B"
Kittur Channamma Mahila Vidya Vardaka Sangh,Women's Development & Empowerment,"Kitturu Channamma Mahila vidya Vardhak Sangh (R), Branch: Shigli, Taluka : Shirahatti, Dt: Gadag Pin : 582110"
Kle Society Ankola,Women's Development & Empowerment,"KLE SOCIETY, ANKOLA, 581314"
Kmd International Education Trust,Children,"2, St. Johns Church Road,"
Kodical Mogaveera Mahasabha,Children,"KODICAL MOGAVEERA MAHASABHA, MEENAKALIYA POST, PANAMBUR, 575010"
Koshika,Children,"Apoorva nilaya, Hutti, Cherkady village & post, Udupi taluk & District- 576215"
Kote Foundation,Children,"No 67-68/51, Sudev Complex, 1st Floor, South Cross Road, Basavanagudi,Bengaluru, Karnataka, 560004"
Kripa Revival Centre,Health & Family Welfare,"No.1/1, Narayanswamy Building, Dasarahalli -H.A Farm Post,Bengaluru â€“ 560024. India"
Kshema Trust,Health & Family Welfare,"2nd Floor, Sridhar Nursing Home,1st Main Road, Rajendranagar, Shimoga - 577 204"
Ksmta,Health & Family Welfare,"N0 2619, 36th ""A"" Cross 4th T Block 26th Main JayanagarBengaluru 560069"
Lakkamma Mahila Mandali,Children,"Lakkamma Mahila Mandali (R.), Thumbigere, Davanagere Tq & Dt., Administrative office: 6th Cross, KHS Extension, Holalkere - 577 526, Chitradurga distr"
