Name of NGO,Cause,Address,Link
Kripa Revival Centre,Health & Family Welfare,"No.1/1, Narayanswamy Building, Dasarahalli -H.A Farm Post,Bengaluru â€“ 560024. India",https://www.kriparevivalcentre.org/
Ksmta,Health & Family Welfare,"N0 2619, 36th ""A"" Cross 4th T Block 26th Main JayanagarBengaluru 560069",https://www.ksmta.org/
Leading Light Ministries Trust,Children,"Leading Light Ministries Trust, No.!, Kings Court, 5th Main, 4th Crosss, Hampinagar,Bengaluru-560104",https://www.unglobalcompact.org/what-is-gc/participants/73411-Leading-Light-Ministries-Trust
Lokasevashrama Trust Regd,Vocational Training,Alambadi V PO Malur Taluk Kolar District 563130,https://www.justdial.com/Kolar/Lokasevashrama-Trust-Regd-Malur/9999P8152-8152-140716111208-C3W9_BZDET
Lokee Foundation,Women's Development & Empowerment,"LOKEE FOUNDATION, (LATE SREE C VENKATE GOWDA MEMORIAL TRUST), BALUVANAHALLI, VENKATAPURA(POST), SIDLAGHATTA(TALUK), Chikkaballapur(DIST)",https://thepalacelife.palaceresorts.com/vape/lokee-vape
Lovedale Foundation,Children,"Admin Office, 51,8th Main , Horamavu Main Road, Kalyan Nagar,Bengaluru 560043",https://www.helpfoundation.org/lovedale.php
Maa Trust,Health & Family Welfare,"M-27, 5TH CROSS, GANDHINAGAR, SHAMPURA VILLAGE,Bengaluru",https://www.themaatrust.org/
Maha Bodhi Society,Children,"Maha Bodhi Society, 14, Kalidasa Road, Gandhinagar, Bengaluru - 560009",https://en.wikipedia.org/wiki/Maha_Bodhi_Society
Mahatma Gandhi Vidya Peetha Trust,Health & Family Welfare,"MAHATMA GANDHI VIDYA PEETHA TRUST, DAYANANDA SAGAR EDUCATIONAL INSTITUTIONS, SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT,Bengaluru 560 078",https://www.dsu.edu.in/history
Malayachala Mahadeshwara Education Society,Children,"Malayachala Mahadeshwara Education Society , No.30,5th Cross,Rajiv Gandhi Nagar,Sunkada Katte,Bengaluru-560091",https://vymaps.com/IN/Sri-Malayachala-Mahadeshwara-Education-Society-455433901563478/
Manav Charities,Vocational Training,"MANAV CHARITIES, No.66, Kammagondanahalli, , Jalahalli West,Bengaluru-560 015.",https://manavcharities.in/
Manomay Charitable Trust,Children,"no 7, muneshwara nagar, ullal main road,Bengaluru, Karnataka - 560056., India",https://www.saathire.com/IPV/manomay-charitable-trust/
Margadarshi,Micro Finance (SHGs),"SHIVANAND M BHASAGI, CHIEF FUNCTIONARY/GENERAL SECRETARY, MARGADARSHI, MARGADARSHI RESIDENTIAL SCHOOL FOR THE BLIND, NEAR MR. GIRISH KULKARANI HOUSE,",https://www.margadarsi.com/
Margadarshi Mahila Samaja,Micro Small & Medium Enterprises,"NO.114, 6TH CROSS, NARASIPURA LAYOUT, VIDYARANYAPURA,Bengaluru - 560 097.",http://mahilamargadarshi.org/
Margadarshi The Association For Physically Challenged,Children,"75/6., Hulkul Complex, Lalbagh Road ,Bengaluru - 560 027",https://give2asia.org/margadarshi/
Maya Movement For Alternatives And Youth Awareness,Health & Family Welfare,"25/1-4, 19th A Main, 9th Cross,J.P Nagar 2nd Phase -Bengaluru- 560078",https://guidestarindia.org/Summary.aspx?CCReg=121
Medico Pastoral Association,Health & Family Welfare,"47, Pottery Road, Fraser Town,Bengaluru - 560 005.",http://medicopastoralassociation.com/
Medico Pastoral Association,Health & Family Welfare,"47, Pottery Road, Fraser Town, ,Bengaluru-560005",http://medicopastoralassociation.com/
Megha Welfare Association,Children,97 Dr Masthi venkatesh iyengar raod gavipuram extionsion,http://meghaspandana.com/
Microfinance Innovation Trust,Micro Finance (SHGs),"No 85, Giridarshini, 1st Floor, Mount Joy Extensionk, Hanumanthnagar,Bengaluru 560019",http://www.poverty-action.org/sites/default/files/publications/a._report_innovation_inclusion_trust_web.pdf
Mithrafoundation,Children,"Mithra Foundation, 290/7, Venketaramiah Lay out-II cross, Banaswadi,Bengaluru 560043, karnataka.",https://uri.org/who-we-are/cooperation-circle/mithra-foundation
Montfort College Society,Children,"Montfort College Society, , 184, Old Madras Road, Indira Nagar,Bengaluru - 560 038",https://www.sampurnamontfort.in/
Muniyamma Foundation,Women's Development & Empowerment,"MUNIYAMMA FOUNDATION, NO 6, 5TH MAIN, 10TH C CROSS, NAGAPURA, MAHALAKSHMIPURAM,Bengaluru 560086",https://www.resilience.org/stories/2011-04-15/innovation-week-community-seed-banks-empower-women-and-protect-biodiversity/
My Bhumi,Drinking Water,"25 / 25,Benaka Arcade, 1 st. Floor, 1st. Block, BEL Layout, Vidyaranyapura,Bengaluru - 560097",https://www.youtube.com/watch?v=611jDU_GiKw
Namm Halli Theater,Vocational Training,"MANJUNATH SWAMY, CITB-188, 2ND MAIN, 1ST CROSS, VINOBHA NAGAR, POLICE CHOWKI",https://www.ngofoundation.in/ngo-directory/namm-halli-theater-society-in-shimoga-karnataka_i25909
Natanam Charitable Trust,Vocational Training,"No 784, 9th Main Road, 3rd Block, Koramangala,Bengaluru - 560034",https://www.amazon.com/Ananda-Siva-Natanam-Blissful-Dance/dp/9352359143
Navachetana,Micro Finance (SHGs),"8-6-77,Parwathi Nivas J P Nagar, Jawada Road Bidar, 585401",https://www.navachetana.in/
Nava Jyothi Foundation,Children,"Shree Vimaleshwar Krupa Ho. No. 1-1-16 W, Kathyayani Nagar, , Udupi -576102",https://www.navajyothi.org/
Need Trust,Children,"48, Bhoopolam, Manjunath Nagar, 15th Cross, Subabi Lane, Behind Bharat Petrol Bank, Hormova Post, Kolkere Main Road,Bengaluru",https://www.schwab.com/resource-center/insights/content/what-is-a-living-trust-do-you-need-one
Nethajividfyasamsthe,Rural Development & Poverty Alleviation,"Nethaji Vidya samsthe (19/1990-91), Chikkanahalli Hosabadavane , Nittuvalli, Davanagere -577004, Karnataka",https://pin-code.org.in/localities/details/210174/lic+colony+southern+extension-dvg+davanagere+davangare+karnataka+577004
Noble Organization,Children,"25/1 9th Main, 2nd Cross, K.G. Colony, GM Palya, 5600075",https://noblenational.org/
Noel Public Charitable Trust,Children,"No 37, 8th cross, 2nd A Main, Vignan Nagar, New Tippasandra P.O.",https://www.pewtrusts.org/en/research-and-analysis/blogs/stateline/about/noelle-straub
Odissi Dance Centre Trust,Children,"Nrityagram, Hessaraghatta P.O.",http://www.nrityagram.org/
Om Maruthi Vidya Samste,Children,"No.948,3rd A cross,Hrbr I block,Kalyananagar,Bengaluru 43",https://www.justdial.com/Bangalore/Om-Maruthi-Vidya-Samste-Kalyan-Nagar/080PXX80-XX80-140715160853-B7B3_BZDET
Outreach Association Of Volunteers For Rural Development,Children,"205,HBR Layout,1st Stage extension,2nd block,80 feet road,Bengaluru-560043",https://www.outreachindia.org/
Outreach Association Of Volunteers For Rural Development,Drinking Water,"OUTREACH Association of volunteers for Rural development, 205,HBR layout 2nd block 80 feet roadBengaluru 560043",https://www.outreachindia.org/
Padarayanapura Residents Welfare Trust,Labour & Employment,"NO.19/6, 11TH CROSS, PADARAYANAPURA,Bengaluru-560026",https://www.searchdonation.com/ngo/padarayanapura-residents-welfare-trust.php
Pandit Narasimhalu Vadavati Music Academy,Vocational Training,"14/1, Janakiramaiah Nilaya, , 13th Cross, 8th Main, M.T. Layout, Malleswaram, , Bengaluru 560 003",https://en.wikipedia.org/wiki/Pandit_Narasimhalu_Vadavati
Parihaar Foundation,Women's Development & Empowerment,"2992, 2nd Main, 17th Cross, BSK 2nd Stage,Bengaluru - 560 070",https://www.parihaarfoundation.com/
Parihar,Children,"PARIHAR, OFFICE OF THE COMMISSIONER OF POLICE, NO 1 INFANTRY ROAD,Bengaluru 560001",https://en.wikipedia.org/wiki/Parihar
Parivarthan Counselling Training And Research Centre,Children,"3310, 1st Floor, 8th Cross, 13th Main, HAL 2nd Stage,Bengaluru 560008",https://parivarthan.org/
Patel Rehabilitation And Education Empowerment Trust,Children,"PATEL REHABILITATION AND EDUCATION EMPOWERMENT TRUST {PREET}(estd 2006) , \tâ€˜Bâ€™ Narayanpura, ITPL main road, Nr.K.R.Puram Rly Stn,",http://www.preetedu.com/index.php?page=About%20Preet
Prabudha Sikshana Grameeniabhirudhi Samaste,Children,basaveshwar nagar shahapur dist gulbarga pin 585223,https://www.ngofoundation.in/ngo-directory/prabudha-sikshana-grameeniabhirudhi-samaste-society-in-gulbarga-karnataka_i26123
Prabudha Sikshna Grameenabhirudhi Samste,Children,Basaveshwar nagar old tahsil off near court shahapur dist gulbarga 585223,https://www.ngofoundation.in/ngo-directory/prabudha-sikshna-grameenabhirudhi-samste-society-in-gulbarga-karnataka_i26124
Pragathi Education And Development Socity,Children,"No, 28 Indira Nagara, yeluvahalli road, vijayapura town, devanahalli taluk 562135",https://www.justdial.com/Bangalore/Pragathi-Education-Development-Society-Vijinapura/080PXX80-XX80-140714112151-K6R8_BZDET
Prakruthi Welfare Foundation,Children,"PRAKRUTHI WELFARE FOUNDATION, 2145 8TH B MAIN 3RD PHASE YELAHANKA NEWTOWN",https://www.lawquestinternational.com/testimonial/vinay-a-l-founder-prakruthi-welfare-foundation/
Pramod Educational Trust,Children,"35,OPP.R.V.ENGG COLLEGE,MYSORE ROAD,Bengaluru-560059,KARANATAKA,INDIA",http://www.indianngos.org/ngo_detail.aspx?nprof=27601230
Pratheksha,Children,"1036/6,Second Stage, 7th Main, HAL 2nd Stage,",http://www.pratheksha.com/
Priyanka Urban And Rural Development Organization R,Rural Development & Poverty Alleviation,"Priyanka Urban and Rural Development Organization R, No.8 6th main Road Near Gangamm Temple ganganagar R.T.Nagar Post,Bengaluru-560032.",https://www.justdial.com/Bangalore/Priyanka-Urban-Rural-Development-Organisation-Near-Gangamma-Temple-Ganganagar/080PXX80-XX80-150202125259-J2Z9_BZDET
Provision Asia,Children,"727, 2nd Main, 2nd Cross, Chinnanna Layout,Kaval Byrasandra, R.T Nagar Post,Bengaluru 560032",https://www.provisionasia.org/
Provision Asia,Children,"proVISION ASIA, No.727,2nd Cross, 2nd Main, Chinnanna Layout, Kaval Byrasandra, R T Nagar, PO.",https://www.provisionasia.org/
Pruthvi Foundation,Children,"No. 5, 7th Cross, Gajendra Nagar, Adugodi,",http://pruthvifoundation.org/our%20team.php
Puttenahalli Neighbourhood Lake Improvement Trust,Children,"B3, 502, South City, Arekere Mico Layout, Off Bannerghatta Road,Bengaluru 560076",http://www.puttenahallilake.in/
Racsha,Children,"No.12, Arogyappa Layout, Mestripalya, behind Manyata Teck Park, Rachehanall Main Road,Bengaluru - 560077",http://www.mhfkolkata.com/racsha/
Rangakahale,Children,"No.35, 2nd main, 2nd cross, Banashankari 5th stage, Uttarahalli, 560061",https://icguild.org/users/mohanohi/
Reach Charitable Trust,Children,"14, Heerachand Road, Cox Town,Bengaluru 560005",https://thereachfoundation.org/
Reach Charitable Trust,Nutrition,"14, Heerachand Road, Cox Town,Bengaluru 560005",https://thereachfoundation.org/
Rural Development InstituteBengaluru,Rural Development & Poverty Alleviation,"1820, 6th Cross, Judicial Layout, GKVK Post",https://www.rd.usda.gov/
Safaikaramchari Rehabilitation Andolanand Urdo,Health & Family Welfare,N6331st main Nethra nilaya Giri nagar Kyathsandr post tumkur 572104,https://pin-code.org.in/ngos/details/karnataka/tumkur/SAFAIKARAMCHARI-REHABILITATION-ANDOLANAND-URDO
Sahaya,Health & Family Welfare,"66,1ST MAIN 4TH CROSS 1ST PHASE 2ND STAGE CHANDRALAYOUT VIJAYANAGER",https://en.wikipedia.org/wiki/Sahaya
Samarthnam Trust For The Disabled,Children,"CA:39, 15th Cross, 16th Main, Sector - 4, HSR Layout,Bengaluru - 560102 Karnataka, India",https://www.samarthanam.org/
Sambhav Foundation Blr,Vocational Training,"No 25/1-4, 19th A main Road, 9th cross, JP Nagar, 2nd Phase,Bengaluru -560078",https://sambhavfoundation.org/
Samraksha,Health & Family Welfare,"Samraksha, No. 11, SREENIVASAM, 6TH Main, A Cross-, , Bull Temple Road,Bengaluru â€“ 560 018",https://www.samraksha.org/
Samraksha,Children,SAMRAKSHA NO 17 3RD MAIN 1ST CROSS SBM COLONY ANAND NAGARBengaluru 560024,https://www.samraksha.org/
Samruddhi Service Society,Women's Development & Empowerment,"SAMRUDDHI SERVICE SOCIETY(R), CTS NO 4859,B/36, 2ND MAIN 7TH CROSS , SADASHIVANAGAR , BELGAVI 590019",https://adda.io/the-samruddhi-residency-co-operative-housing-service-society
Samskrita Bharati Karnataka Trust,Children,"Aksharam, 8th Cross, 2nd Phase, Girinagar",https://guidestarindia.org/Summary.aspx?CCReg=11119
Samuha Foundation,Children,"No 158/A, 9th Cross, 3rd Block, Thyagarajanagar,Bengaluru-560028",https://www.samuha.org/
Sankalp India Foundation,Health & Family Welfare,"304, Floor 3, Chamundi Emerald, Opp Balmuri Ganesha Temple, 7th Cross, 1st Main, NS Palya, BTM Stage II,",http://www.sankalpindia.net/
Sapthagiri Urban And Rural Development Socity,Micro Finance (SHGs),S S Patil SAPTHAGIRI URBAN AND RURAL DEVELOPMENT SOCIETY Basavanagar Ward No 5 Near Court Hungund Town District Bagalokot 587118,https://fliphtml5.com/wful/jabc/basic
Saraswati Mahila Mandal,Vocational Training,"No. 4-8-62, Vijayamahenteshwar Nagar, , Near Ambedkar Circle, Ganj, Bhalki, Bidar - 585328",https://timesofindia.indiatimes.com/topic/Saraswati-Mahila-Mandal
Sardar Vallabhai Patel Society,Health & Family Welfare,"SARDAR VALLABHAI PATEL SOCIETY, no 6B Kote NCMR building Karthik nagarBengaluru 560037",https://www.thehindubusinessline.com/news/countrys-first-housing-society-was-set-up-in-1927-by-vallabhbhai-patel-modi/article25088115.ece
Sarthaka Cultural Education And Charitable Trust,Health & Family Welfare,"No: 313, Andrahalli Main Road, Maruthi nagar, Hegganahalli West, Vishwaneedam Post,Bengaluru-560 091,",https://www.justdial.com/Bangalore/Sarthaka-Cultural-Education-And-Charitable-Trust--Vishwaneedam/080PXX80-XX80-140715173456-X5T1_BZDET
Sarvasumana Association,Health & Family Welfare,"1188/20, 3rd Floor, 26th Main, 9th Block, Jayanagar",https://www.emedevents.com/organizer-profile/sarvasumana-association
Sarvasumana Association,Health & Family Welfare,"1188/20, 3rd Floor, 26th Main, 9th Block, Jayanagar",https://www.emedevents.com/organizer-profile/sarvasumana-association
Sarvojana Seva Trust,Women's Development & Empowerment,"1253,9th,cross,R.K.Hegdenagar,SRKnagar post,Bengaluru-77",https://www.justdial.com/Bangalore/Sarvojana-Seva-Trust-Near-Balaji-International-School-Hegde-Nagar/080PXX80-XX80-130605170839-U9I6_BZDET
Sathi Organisation,Children,"SATHI, NO. 36, RATNA FOREVER BUILDING, 4TH FLOOR, 1ST FLOOR, MODEL COLONY, ABOVE NEW BESCOM OFFICE, YESHWANTHPUR,Bengaluru 560022",https://sathicehat.org/
Scord Trust,Health & Family Welfare,"No 5, 3rd Floor, 4th Main, 9th Cross, Malleshwaram 560003",https://www.tpl.org/parkscore
Sharp Education Trust,Children,"No.6 1ST FLOOR SRI RAMA TEMPLE STREET VENKTESHPURAM. NAGAWARA MAIN ROAD,Bengaluru",https://edtrust.org/news/cal-state-seeks-sharp-increase-in-graduation-rates-by-2016/
Shivafoundation,Children,"NO 471,11th main, M.C layout,vijaynagarBengaluru-40",https://shivafoundation.org.uk/
Shree Ramana Maharishi Academy For The Blind,Children,"Shree Ramana Maharishi Academy for the Blind, C.A. 1 - B, 3rd Cross, 3rd phase, J.P.Nagar,Bengaluru-560078",https://www.srmab.org.in/
Shreyas Centre For Humanity Urban And Rural Development,Children,"SHREYAS CENTRE FOR HUMANITY URBAN AND RURAL DEVELOPMENT, HIG 1219, 8th B Cross, 7th B Main, Above V B Bakery, Near RTO office, Yelahanka New Town,Bang",https://www.justdial.com/Bangalore/Shreyas-Centre-For-Humanity-Urban-And-Rural-Development-Yelahanka-New-Town/080PXX80-XX80-140530140124-A9S6_BZDET
Shri J G Co Operative Hospital And Research Institute Ltd,Health & Family Welfare,Dr. Gangadhar Nagar Distict Belgaum Karnataka,http://www.jghospital.org/
Shri Nimishambhadevi Cultural Yuvaka Sangha,Children,"Shri Nimishambhadevi Cultural Yuvaka Sangha , Vanamalaiah Building, Shagale577002",https://www.doaram.com/organization/shri-nimishambhadevi-cultural-yuvaka-sangha-society-organization
Sidharth Integrated Rural And Urban Development Society,Rural Development & Poverty Alleviation,"SIDHARTH INTEGRATED RURAL AND URBAN DEVELOPMENT SOCIETY , H.NO.135-B, OPPOSITE DARGA,GUBBI COLONY, SEDAM ROAD GULBARGA-585105",https://www.justdial.com/Gulbarga/Sidharth-Integrated-Rural-And-Urban-Development-Society-Sedam-Road/9999P8472-8472-140603165923-U6X6_BZDET
Sneha Charitable Trust,Children,"Snehadaan , Ambedkar Nagar, Sarjapura road, , Carmelaram PO ,Bengaluru - 35 , Karnataka",http://snehacharitabletrust.org/
Snehadhara Foundation,Children,S-14 MEENAKSHI RESIDENCY AREKERE BANNERGHATTA ROADBengaluru 560076,https://snehadharafoundation.org/
Sneha Sinchana Trust,Rural Development & Poverty Alleviation,"Sneha Sinchana Trust (regd), No 41, 1st main road,Kamalanagar .Bengaluru 560079",https://starofmysore.com/sneha-sinchana-trust-and-janamana-tv-youtube-channel/
Sneha Trust,Children,"SNEHA TRUST, Moorandahalli village, Arahalli post, Kolar taluk& District, Karnataka-563101",no link
Social Health And Educational Development Society,Health & Family Welfare,"Dr Channappa Hosptial, Gangammagudi Road, Bagepalli -561207, Chikkaballapurrict, Karnataka State.",https://www.endslaverynow.org/redemption-research-for-health-and-educational-development-society-rrheds
Social Service Guild,Children,"The Director, Social Service Guild, Kristu Jyoti College, Bosco Nagar, K.R. Puram,Bengaluru - 560 036",http://poundpuplegacy.org/node/13817
Society For Action In Rural Development Technology,Children,"KHB colony,lig 124,bidar 585401,karnataka",no link
Society Of Sisters Of The Holy Cross,Children,"Holy Cross Provincialate, Medico Social Centre, Maruthi Nagar 1st Cross, Madivala,Bengaluru 560 068, Karnataka",no link
Society Of Sisters Of The Holy Cross,Children,"Society of Sisters of the Holy cross, Medico Social Centre, Madivala New Extension ,Bengaluru 560 068",no link
Socioeconomic Development And Research International,Rural Development & Poverty Alleviation,"No.41, 1A cross, 6G main, Gauravanagar, JP nagar 7 phase,Bengaluru -560078",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.33114
Sparshatrust,Children,"SPARSHA TRUST, NO.6 GROUND FLOOR, 6TH CROSS, , SBM COLONY, BRINDAVAN NAGAR, , MATHIKERE,Bengaluru 560054",no link
Sri Guru Swayam Seva Samithi,Women's Development & Empowerment,"Sri guru swayam seva samithi., no-63/1,j.s.nagar, Nandini layout,Bengaluru-560096, Karnataka,INDIA.",https://www.justdial.com/Bangalore/Sri-Guru-Swayam-Seva-Samithi-Nandini-Layout-Bangalore-Nandhini-Layout/080PXX80-XX80-110816121336-G6U3_BZDET/photos
Sri Keshava Trust,Health & Family Welfare,"c/o Vittala International Institute of Ophthalmology , Site 1,2nd main 2nd cross hoskerehalli 7th block Banashankari III stageBengaluru 560085",no link
Sri Krishna Association,Children,"S R Neelamma, W/O V M Thippanna, Venkatapura village & post, via.melur, Shidlaghatta taluk, Chikaballapur District, Pin code 562102",no link
Sri Saraswathi Education And Rural Development Society,Children,"56, 2nd main, behind idgah maidan, vivekanandanagar, hoskote town,Bengaluru rural dist.",https://www.searchdonation.com/sri-saraswathi-education-and-rural-development-society
Sri Shanakra Cancer Foundation,Health & Family Welfare,"Sri Shankara Cancer Foundation, 1786 Sriniketana 34th cross 14th main Banashankari II Stage",no link
Sri Sharada Sevika Mandali,Children,"Sri Sharada Sevika Mandali, No. 46, Ranga Rao Road, Shankara puram,Bengaluru- 560004",no link
Sri Sri Rural Development Programme Trust,Rural Development & Poverty Alleviation,"SRI SRI RURAL DEVELOPMENT PROGRAMME TRUST, THE ART OF LIVING CENTRE, 21 KMS, KANAKPURA ROAD, VILLAGE UDIPALIYA,Bengaluru-560082",no link
Sri Sudharana Rural Development Organization,Rural Development & Poverty Alleviation,"Niketan Consultants , 583/A/37, 3rd Cross 10th Main, Banashankari 1st Stage, II Block Srinivas Nagar,Bengaluru- 50, Ph : 080-55313497 , Fax : 080-266",http://www.ssrdo.org/
Sri Sudharana Rural Development Organization Reg,Rural Development & Poverty Alleviation,"Sri Sudharna Rural Development Organization.Reg., C/oNiketan Consultants, 583,10th main,Banashankari 1 st stage II Block srinivas Nagar,Bengaluru -50",no link
Sri Sukhatheertha Pratishtanam,Children,"No. 731, 6th Cross, 3rd Phase, 3rd Block, BSK 3rd stage, Kempegowda Layout, Bengaluru - 560085",no link
Sri Vidya Vikasa Kendra,Children,"Sri Vidya Vikasa Kendra, 17, Mullur Village,Kodathi Gate, Sarjapur Road,Bengaluru - 560035",no link
Srivijayakalanikethana,Vocational Training,"Srivijaya Kalanikethana trust, Rajendra nagar,6TH CROSS.",no link
Ss Khuba Foundation For Public Service And Development Organization,Children,H No 8-11-224 SBH Colony KEB Road near Hanuman Temple,no link
Stone Cutters Mud Workers And Unorganized Labor Welfare Association,Labour & Employment,"T.S.Chandrashekar, President, Stone Cutters Mud Workers Unorganized Labor WelfareAssociation, No 43 Ground Floor, 6 Main Road Kempamma Badavane, Mariy",no link
Sumanahalli Society,Children,"SUMANAHALLI SOCIETY, MAGADI ROAD, VISWANEEDAM POST",no link
Sundara Social Welfare And Charitable Society,Women's Development & Empowerment,"135, Shyam Nilaya, 5th main, Padmanabhanagar,Bengaluru-560070",no link
Sundara Social Welfare And Charitable Society,Rural Development & Poverty Alleviation,"SUNDARA SOCIAL WELFARE AND CHARITABLE SOCIETY, 135, Shyam Nilaya, 5th main, Padmanabhanagar,Bengaluru-560070",no link
Suraksha,Children,"Suraksha, 603, SLR MAnsion, Tf-3, 15th Main, 3rd Stage, 1st Block, Basaveshwara Nagar,Bengaluru - 560 079",no link
Surya Foundation,Health & Family Welfare,"SURYA FOUNDATION , TUNGABHADRA COLONY 1ST CROSS, SAPTAPUR LAST CROSS, K.U.D ROAD, DAHRWAD-580001",no link
Swagath Education And Community Action,Children,"864, ""Nandana"", 13th Main, 7th Cross, Srinagar - 560050",no link
Swami Vivekanadan Rashtra Seva Trust,Children,"Sy.No.347, Somashekhara Reddy Estate,Â , Hulimangala Village, Jigani Hobli, Anekal Taluq,Bengaluru, 560105",no link
Swamy Vivekananda Youth Association,Children,"1ST FLOOR, AJBJ COMPLEX, OLD POST OFFICE ROAD, NEAR SYNDICATE BANK, ANEKAL TOWN-562106",no link
Swarga Rural And Urban Development Trust,Children,"No.181, 1st Floor, Canara Bank Colony, Nagarabhavi Main Road,",no link
Swashakthi Women And Child Welfare Organisation,Women's Development & Empowerment,"Poornima, Swashakthi Women And Child Welfare Organisation, 16/44, 11th Cross, Padnabhanagar (near hashmitha residency)",no link
Tajphool Minoritys Education Society,Children,"Tajphool minoritys education society, Akkipete , Shiralkoppa, Shikaripura taluk, Shimoga",no link
Talent Search Foundation,Children,"Talent Search Foundation , No 22 Tanya Tower, Pampa Ext , Hebbal Kempapur , Banaglore -24",no link
Telerad Foundation,Health & Family Welfare,"JASBIR SINGH, TELERAD FOUNDATION, C/O TELERADIOLOGY SOLUTIONS , 7G , OPP GRAPHITE INDIA, WHITEFIELD,Bengaluru",no link
TheBengaluru School Of Music And Fine Arts,Children,"No. 8, HMT/HBCS Layout, CBI Road, R.T Nagar Post",no link
The Churches Council For Child And Youth Care,Children,"cccyc, 26 Lavelle Road",no link
The Sacred Heart Brothers,Children,"The Sacred Heart Brothers, BIRDS, BIRDS Campus, Geddalahalli, Kothanur Post,Bengaluru - 560077",no link
The Servite Society Of The Congregation Of Servants Of Mary The Mother Of SorrowsBengaluru Servite,Children,"No.5, Davis Raod, St.Thomas TownBengaluru 560084",no link
The United Karnataka Charitable Trust,Health & Family Welfare,"no 16/5, 428. B.5.A B MANSION, DR A P J Abdul Kalam road, omer nagar, A C post,Bengaluru 560045",no link
Trinity Care Foundation,Children,"No. 74, 4th Main Road, Viveknagar Extension,Bengaluru 560047.",no link
Trinity Christian Association,Children,"17, Vijayanagar Extension",no link
Trust For Rural Upliftment Strategies,Children,"Trust for Rural Upliftment STrategies , No. 6-E-1, Sri Krishna Mandira, 27th Cross, 3rd C Main, Sri Raghavendrea Layout, HULIMAVU,Bengaluru 560 076",no link
T S Charitable Trust,Women's Development & Empowerment,"T S Charitable Trust (R), No. 8, Sri Mahalakshmi Bhavana, Sri Sathya Sai Colony, Basavanna Nagar Main Road, Hoddi, Mahadevapura Post,Bengaluru - 48.",no link
United Karnataka People Welfare And Development Society,Children,131 ARMSTRONG ROAD BHARATI NAGARBengaluru 560001,no link
Urban Research Centre,Children,"E 1, Maithree Apartments, 6th Main, 15th Cross, Malleswaram,Bengaluru-560003.",no link
Vasantharatna Foundation For Arts,Children,"7/21, Sankey Road, Lower Palace Orchards,",no link
Vidyanikethan,Children,"Jaraganahalli, 6th Phase, J.P.Nagar,Bengaluru-560078.",no link
Vimukti Trust,Dalit Upliftment,"Vimukti Trust, 1289, ISEC Road, Nagarabhavi Village and Post",no link
Vishwalaya,Children,Ravugodlu village Bolare P O Kanakapura RdBengaluru South Pin-560082,no link
Water Literacy Foundation,Urban Development & Poverty Alleviation,"Ayyappa,347, parvathi nilaya, kallappa layout, Amruthahalli, Sahakarnagar post,Banglaore560092",no link
Weight Loss Wonder Foundation,Health & Family Welfare,"E-16, Sriram Sadhana, Gokula, MSR Road,Bengaluru 50054",http://www.wlwfoundation.org/
Wisdom Foundation,Children,"Wisdom Foundation, 449, Behind Govt. school, off outer ring road, Mahadevapura,Bengaluru - 560048",no link
Yaabaa Academy,Dalit Upliftment,"Yaabaa Academy, , C/o, Mr. Muralidhar V Rathod, No.292, First Floor, 2nd Cross, 10th Main, , BEML Layout, 5th Stage, Rajarajeshwari Nagara,Bengaluru",https://anchor.fm/haji-warsame/episodes/Geelow-geed-walba-daaqdaye-markaad-ciin-daaqdaa-laguu-yaabaa-edlhd8
Yuva Ignited Minds,Drinking Water,"No:9, B.V.K Iyengar Road, Sankla Mansion, Chickpet,Bengaluru 560053",no link
Yuvalok Foundation,Children,"DP Daniel, , YuvaLok Service Center, , The Ambassador, 16, 6th Cross, Hutchins Road, St. Thomas Town P.O.,Bengaluru 560032",no link
